t1,t2,n,accuracy,balanced_accuracy,f1_macro,kappa
0.0,0.02,129,0.9457364341085271,0.5,0.3240371845949535,0.0
0.0,0.04,129,0.8217054263565892,0.5,0.300709219858156,0.0
0.0,0.06,129,0.7286821705426356,0.5,0.28101644245142005,0.0
0.0,0.08,129,0.7596899224806202,0.5779569892473119,0.37829457364341085,0.20701963117192135
0.0,0.1,129,0.7829457364341085,0.6469057258530942,0.44187204381379136,0.3600283486888731
0.0,0.12,129,0.7829457364341085,0.6981741573033708,0.47664141414141414,0.43860739819707806
0.0,0.14,129,0.7596899224806202,0.6863711001642037,0.46586829354020737,0.4051762605979473
0.0,0.16,129,0.751937984496124,0.7054740701938187,0.47597930524759796,0.4318744838976053
0.0,0.18,129,0.751937984496124,0.720211161387632,0.48465608465608473,0.4591194968553459
0.0,0.2,129,0.8372093023255814,0.8254299754299754,0.5535442112955423,0.6616710378418884
0.0,0.22,129,0.875968992248062,0.8737769080234834,0.5825179386823223,0.7475538160469668
0.0,0.24,129,0.8837209302325582,0.8812134502923976,0.5879361204353576,0.7638227755400953
0.0,0.26,129,0.8527131782945736,0.8514492753623188,0.567881828990589,0.7036634022488212
0.0,0.28,129,0.8604651162790697,0.8608695652173913,0.5733686917389907,0.720173535791757
0.0,0.3,129,0.8527131782945736,0.8536231884057971,0.568262571514604,0.7049476345250993
0.0,0.32,129,0.875968992248062,0.8760817307692308,0.583974358974359,0.7519826964671954
0.0,0.34,129,0.8992248062015504,0.8995192307692308,0.5994185463659147,0.7985585585585586
0.0,0.36,129,0.8914728682170543,0.8918269230769231,0.59420638741775,0.7830891184242134
0.0,0.38,129,0.8914728682170543,0.8911057692307692,0.594101575056252,0.7827760404137599
0.0,0.4,129,0.8837209302325582,0.8823953823953824,0.5886786369223949,0.7667269439421338
0.0,0.42,129,0.8527131782945736,0.8476374156219865,0.5665257093828523,0.7017885387516729
0.0,0.44,129,0.8604651162790697,0.8479844584749878,0.5693815987933635,0.7116960516513533
0.0,0.46,129,0.8449612403100775,0.8251851851851852,0.5560699588477366,0.6712538226299694
0.0,0.48,129,0.813953488372093,0.7881481481481482,0.5315173738431989,0.6012364760432767
0.0,0.5,129,0.813953488372093,0.7850049652432969,0.5301587301587302,0.5972944849115505
0.0,0.52,129,0.7984496124031008,0.7586726998491704,0.5136836343732895,0.5510040160642571
0.0,0.54,129,0.7751937984496124,0.7278061224489796,0.49271116691079025,0.48844523451387933
0.0,0.56,129,0.7751937984496124,0.7090099528548979,0.4819943230902135,0.4604067503245348
0.0,0.58,129,0.7751937984496124,0.6978609625668449,0.4754236638294609,0.4417251156543799
0.0,0.6,129,0.813953488372093,0.7275280898876404,0.5004295532646048,0.5113636363636365
0.0,0.62,129,0.8449612403100775,0.7530959752321982,0.5183908045977011,0.558974358974359
0.0,0.64,129,0.8294573643410853,0.7064393939393939,0.4900423201394075,0.47964796479647964
0.0,0.66,129,0.8217054263565892,0.681344696969697,0.47352146600266903,0.4364672364672365
0.0,0.68,129,0.8372093023255814,0.6833443054641211,0.4782472613458529,0.451286206198096
0.0,0.7000000000000001,129,0.8449612403100775,0.6557637906647807,0.4609250398724083,0.405803777061262
0.0,0.72,129,0.8372093023255814,0.6103846153846153,0.42343434343434344,0.29764065335753176
0.0,0.74,129,0.8449612403100775,0.5994047619047619,0.4152046783625731,0.27973199329983256
0.0,0.76,129,0.8604651162790697,0.6086956521739131,0.4262939958592133,0.3134240094618569
0.0,0.78,129,0.875968992248062,0.6190476190476191,0.4385499557913351,0.3435114503816794
0.0,0.8,129,0.8604651162790697,0.55,0.3685156651258346,0.15808556925308193
0.0,0.8200000000000001,129,0.8604651162790697,0.5,0.30833333333333335,0.0
0.0,0.84,129,0.8682170542635659,0.5,0.30982019363762103,0.0
0.0,0.86,129,0.8992248062015504,0.5,0.3156462585034014,0.0
0.0,0.88,129,0.9069767441860465,0.5,0.3170731707317073,0.0
0.0,0.9,129,0.9147286821705426,0.5,0.3184885290148448,0.0
0.0,0.92,129,0.9302325581395349,0.5,0.321285140562249,0.0
0.0,0.9400000000000001,129,0.9302325581395349,0.5,0.321285140562249,0.0
0.0,0.96,129,0.9534883720930233,0.5,0.3253968253968254,0.0
0.0,0.98,129,0.9689922480620154,0.5,0.32808398950131235,0.0
0.0,1.0,129,0.9767441860465116,0.5,0.32941176470588235,0.0
0.02,0.04,129,0.8217054263565892,0.3333333333333333,0.300709219858156,0.0
0.02,0.06,129,0.7286821705426356,0.3333333333333333,0.28101644245142005,0.0
0.02,0.08,129,0.7441860465116279,0.3757261154369052,0.35934539190353143,0.1639827179890022
0.02,0.1,129,0.751937984496124,0.41202883138367,0.40654440848615603,0.2810867293625914
0.02,0.12,129,0.751937984496124,0.4586312563840654,0.45421374764595096,0.37605804111245467
0.02,0.14,129,0.7286821705426356,0.45123152709359604,0.4447415329768271,0.3481085763788623
0.02,0.16,129,0.7131782945736435,0.4600967974461951,0.4505050505050505,0.36512370311252984
0.02,0.18,129,0.7131782945736435,0.4724164724164724,0.4626123541786192,0.3962049335863378
0.02,0.2,129,0.7984496124031008,0.5518018018018017,0.5381720430107527,0.5979863358504136
