mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
1036,CCC1=C(C)C2=NC1=CC3=C(C)C(CC)=C([NH]3)C=C4C(CC)=C(C)N4C=C5C(C)=C(CC)C2=N5,681.3225,0.6817194,118.67749,0.49449545,0.6817194,0.33710715
1131,C(CC)C1=C2C=CC(C(=C3C=CC(=C(C=4C=CC(=C(C5=CC=C1N5)CCC)N4)CCC)N3)CCC)=N2,679.2897,0.6966695,120.71033,0.48260865,0.6966695,0.33621874
1032,CN1C2=CC3=C(CC)C(CC)=C([NH]3)C=C4C(CC)=C(CC)N4C=C5C(CC)=C(CC)C(=N5)C=C1C(CC)=C2CC,687.48334,0.5818113,112.51666,0.53099644,0.5818113,0.30893973
1069,CN1C2=CC3=C(CC)C(CC)=C([NH]3)C=C4C(CC)=C(CC)N4C=C5C(CC)=C(CC)C(=N5)C=C1C(CC)=C2CC,687.48334,0.5818113,112.51666,0.53099644,0.5818113,0.30893973
1027,CCC1=C(C)C2=NC1=CC3=C(C)C(CC)=C([NH]3)C(N)=C4C(CC)=C(C)N4C=C5C(C)=C(CC)C2=N5,679.1399,0.59573567,120.86011,0.48173636,0.59573567,0.28698754
1072,C(C)C1=C2NC(=C1CC)C=C1C(=C(C(=N1)C=C1C=CC(N1)=CC=1C=CC(N1)=C2)CC)CC,674.44464,0.60806173,125.55536,0.45465907,0.60806173,0.2764608
1002,CCC1=C(C2=NC1=CC3=C(C4=C([C@@H](C(=C5[C@H]([C@@H](C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C,675.89484,0.5961523,124.10516,0.46296465,0.5961523,0.27599746
1040,C1=CC=C(C=C1)C2=C3C=CC(=C3)C(=C4C=CC(=N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9,654.54596,0.7852567,145.45404,0.34720364,0.7852567,0.27264398
1041,C1=CC=C(C=C1)C2=C3C=CC(=C3)C(=C4C=CC(=N4)C(=C5C=CC(=N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9,654.54596,0.7852567,145.45404,0.34720364,0.7852567,0.27264398
1028,C1=CC=C(C=C1)C2=C3C=CC(=C3)C(=C4C=CC(=N4)C(=C5CCC(=N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9,649.2843,0.7510897,150.7157,0.32117757,0.7510897,0.24123317
1067,CCC1=C(CC)C2=NC1=C(C)C3=C(CC)C(CC)=C([NH]3)C=C4C(CC)=C(CC)N4C=C5C(CC)=C(CC)C2=N5,672.77997,0.53679466,127.22003,0.44519323,0.53679466,0.23897734
1031,CCC1=C(CC)C2=NC1=C(C)C3=C(CC)C(CC)=C([NH]3)C=C4C(CC)=C(CC)N4C=C5C(CC)=C(CC)C2=N5,672.77997,0.53679466,127.22003,0.44519323,0.53679466,0.23897734
1068,CCC1=C(CC)C2=NC1=C(C)C3=C(CC)C(CC)=C([NH]3)C=C4C(CC)=C(CC)N4C=C5C(CC)=C(CC)C2=N5,674.0143,0.5266787,125.98572,0.45220482,0.5266787,0.23816665
1143,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=N5)C=C1N2)C)C(C)O)C)C(C)O)C(=C3CCC(=O)OC)C)CCC(=O)OC,657.8521,0.6532104,142.14789,0.36410934,0.6532104,0.23784001
1142,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=N5)C=C1N2)C)C(C)O)C)C(C)O)C(=C3CCC(=O)OC)C)CCC(=O)OC,657.8521,0.6532104,142.14789,0.36410934,0.6532104,0.23784001
1127,C1(=CC=CC=C1)C1=C2C=CC(C(=C3C=CC(=C(C=4C=CC(=C(C5=CC=C1N5)C5=CC=CC=C5)N4)C4=CC=CC=C4)N3)C3=CC=CC=C3)=N2.[Zn],651.1623,0.7014576,148.8377,0.33033988,0.7014576,0.23171942
998,CCC1=C(C2=CC3=C(C(=C([NH]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)C=C)C)CCC(=O)OC)C)C=C)C,654.80444,0.663987,145.19556,0.3485103,0.663987,0.2314063
1099,C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)N3,650.3697,0.7049871,149.63031,0.32645553,0.7049871,0.23014694
