mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
56,CCCCCCCC[n+]1c2ccccc2c(cc1)C=CC=CC=CC3=[N+](CCCCCCCC)c4ccccc4C3(C)C,548.08636,0.7061168,251.91364,0.0041876775,0.7061168,0.0029569895
3,CCN(CC)c1ccc2c(c1)C(=C3C=CC(=[N+](CC)CC)C=C3)c4ccccc4C2=O,548.1148,0.56994826,251.8852,0.0041906787,0.56994826,0.00238847
6,COc1ccc(cc1)C2=C(C#N)C(N)=C(C)C(N)=C2C#N,539.91376,0.6131865,260.08624,0.0033971183,0.6131865,0.002083067
78,CN(C)c1ccc(cc1)C2=C(c3ccc(N(C)C)cc3)C(=O)c4ccccc42,540.0374,0.6011488,259.9626,0.0034080588,0.6011488,0.0020487504
97,CC1=CC2=C(C=C1)N(C)C(=C2)C3=C4C=CC(=[N+](C)C)C=C4OC5=C3C=CC(=C5)N(C)C,536.6987,0.50842655,263.30127,0.003122995,0.50842655,0.0015878135
10,CN1C=C(C2=CC=CC=C2)c3c4ccccc4ncc13,530.92255,0.5695215,269.07745,0.002677909,0.5695215,0.0015251267
14,CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3,534.39105,0.5090758,265.60895,0.0029381046,0.5090758,0.001495718
59,CC1(C)C2=C(C=CC=C2)N(C)C1=CC=CC=CC3=[N+](C)c4ccccc4C3(C)C,529.00775,0.54015255,270.99225,0.002542964,0.54015255,0.0013735885
37,CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccc(cc3)S(=O)(=O)O,530.789,0.50064486,269.211,0.0026683016,0.50064486,0.0013358715
96,C1=CC=C(C=C1)C2=C3C=CC(=[N+](C)C)C=C3OC4=C2C=CC(=C4)N(C)C,534.24567,0.45030406,265.75433,0.0029267771,0.45030406,0.0013179396
69,[Na+].[O-]S(=O)(=O)c1ccc2c(c1)C(=C3C=CC(=[N+](CC)CC)C=C3)c4ccccc4C2=O,528.67413,0.40831286,271.32587,0.002520063,0.40831286,0.0010289741
43,O=S(=O)(O)c1ccc(cc1)C2(c3ccc(O)cc3)OC(=O)c4ccccc24,523.8039,0.4628612,276.1961,0.0022055032,0.4628612,0.0010208419
20,COc1cc(cc(OC)c1OC)C2=C(C#N)C(N)=C(C)C(N)=C2C#N,525.5114,0.4392943,274.4886,0.0023116719,0.4392943,0.0010155042
57,CC1(C)C2=C(C=CC=C2)N(CCCS(=O)(=O)[O-])C1=CC=CC=C3N(CCCS(=O)(=O)[O-])c4ccccc4C3(C)C,521.8292,0.43605503,278.17078,0.0020880299,0.43605503,0.00091049593
55,CCCC[n+]1c2ccccc2c(cc1)C=CC=CC3=[N+](CCCC)c4ccccc4C3(C)C,515.103,0.47339123,284.89697,0.0017278128,0.47339123,0.00081793143
58,C[n+]1c(C=CC2=[N+](C)c3ccccc3C2(C)C)c4ccccc41,515.5401,0.40003258,284.4599,0.0017494448,0.40003258,0.0006998349
18,CN(C)c1ccc2c(c1)Oc3cc(N(C)C)ccc3C2=C4C=CC(=[N+](C)C)C=C4,524.3252,0.30927414,275.6748,0.0022374575,0.30927414,0.00069198775
