mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
9835,Cc1cc(C)c(-c2cccc3c(=O)cc[nH]c23)c(C)c1-c1cncc2c1-c1c(-c3c(C)cc(C)c(-n4nnc5ccccc54)c3C)cncc1[SiH2:2]2,570.4842,0.8227258,229.51581,0.0071799676,0.8227258,0.0059071444
8770,Cc1cc(C)c(-c2ccnc3cnncc23)c(C)c1-c1cnncc1-c1c(C)cc(C)c(-n2c3ccccc3c3ccncc32)c1C,568.1299,0.78135633,231.87012,0.006800408,0.78135633,0.0053135417
8458,CC(c1ccccc1)c1c2nc[nH]c2c(C(c2ccccc2)c2ccc3c4ccccc4c4[nH]cnc4c3c2)c2[nH]cnc12,568.215,0.7747438,231.78497,0.006813844,0.7747438,0.0052789836
8789,Cc1cc(C)c(-c2ccc3ccccc3c2-c2c(C)cc(C)c(N3c4ccccc4C(C)(C)c4ccccc43)c2C)c(C)c1-c1cccs1,564.24194,0.8136936,235.75806,0.00620948,0.8136936,0.005052614
9712,c1ccc(C(c2ccc3c(c2)sc2ncccc23)c2c(C(c3ccccc3)n3cccn3)ccc3cc4ccccc4cc23)cc1,565.7532,0.74713075,234.24683,0.0064339684,0.74713075,0.004807016
5366,O=Cc1ccc(C2CC(N3c4ccccc4Sc4ccccc43)CC(c3ccccc3)(c3ccccc3)C2)cc1,566.08356,0.7299702,233.91644,0.0064839195,0.7299702,0.004733068
8967,CN1c2ccccc2Sc2cc(C3CC(c4c(C5CC(c6ccnnc6)CC(c6ccccc6)(c6ccccc6)C5)ccc5ccccc45)CC(c4ccccc4)(c4ccccc4)C3)ccc21,561.4599,0.76534534,238.5401,0.0058130263,0.76534534,0.0044489726
9944,O=c1[nH]ccn1C1CC(c2c(C3CC(N4c5ccccc5Oc5ccccc54)CC(c4ccccc4)(c4ccccc4)C3)ccc3ccccc23)CC(c2ccccc2)(c2ccccc2)C1,558.4113,0.8158564,241.58868,0.0054027904,0.8158564,0.0044079013
5252,c1ccc(C2(c3ccccc3)CC(c3cnc4nccnc4n3)CC(c3ccnc4cnncc34)C2)cc1,563.54803,0.7177813,236.45197,0.006108575,0.7177813,0.004384621
8909,Cc1c(C)c(-c2c(C#N)cc(C#N)c(-c3c(C)c(C)c(-c4ccnc5c4[SiH2:2]c4cccnc4[SiH2]5)c(C)c3C)c2C#N)c(C)c(C)c1-c1cnc2sc3ncccc3c2c1,557.767,0.79858047,242.23297,0.005319236,0.79858047,0.0042478377
