mol_id,smiles,pred_lambda,pred_phi,dist_lambda,score_lambda,score_phi,combined_score
1177,CC1=c2cc3c(cc2=[N+]2C1=Cc1c4ccccc4c(C)n1[B-]2(F)F)C1=Cc2c4ccccc4c(C)n2[B-](F)(F)[N+]1=C3C,764.2487,0.66671544,35.75128,0.9380916,0.66671544,0.6254401
4619,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](Cc4ccc(C(=O)O)cc4)c4ccccc4C3(C)C)=C2Cl)N(Cc2ccc(C(=O)O)cc2)c2ccccc21,737.74493,0.7469695,62.255066,0.8238353,0.7469695,0.61537987
6794,COc1ccc(-c2oc3c(c2Br)=[N+]2C(=C(C(F)(F)F)c4c(Br)c5oc(-c6ccc(OC)cc6)c(Br)c5n4[B-]2(F)F)C=3Br)cc1,725.9947,0.78271973,74.00531,0.7604543,0.78271973,0.5952226
1432,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)C(=Cc1ccc2c(c1)c1ccccc1n2CC)CCC3,725.60345,0.76742285,74.396545,0.7582499,0.76742285,0.5818983
6370,C1=C2c3cc4ccccc4cc3C3=[N+]2[B-]2(Oc4ccccc43)Oc3ccccc3-c3c4cc5ccccc5cc4c1n32,718.0884,0.8069191,81.91162,0.7149979,0.8069191,0.5769454
1160,CN(C)c1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(N(C)C)cc5)n4[B-]3(F)F)c3ccccc32)cc1,730.67004,0.72857106,69.329956,0.78636664,0.72857106,0.57292396
4623,CC1(C)C(=CC=C2CCCC(C=CC3=[N+](Cc4ccc([N+](=O)[O-])cc4)c4ccccc4C3(C)C)=C2Cl)N(Cc2ccc([N+](=O)[O-])cc2)c2ccccc21,727.4817,0.73193455,72.51831,0.768784,0.73193455,0.56269956
2585,COc1cc2c3c(c4cc(OC)c(OC)c(OC)c4c2c(OC)c1OC)=[N+]1C(=C(c2c(C)cc(C)cc2C)c2cc4c5cc(OC)c(OC)c(OC)c5c5c(OC)c(OC)c(OC)cc5c4n2[B-]1(F)F)C=3,712.9242,0.8048342,87.075806,0.6844705,0.8048342,0.55088526
4444,Cc1ccc(C2=C3C=CC4=[N+]3[B-](F)(F)n3c2ccc3-c2ccc([nH]2)C(c2ccc(C)cc2)=c2ccc(o2)=C(c2ccc(C)cc2)c2ccc4[nH]2)cc1,715.6075,0.78561425,84.39252,0.70039916,0.78561425,0.55024356
4678,CC[N+]1=C(C=CC=CC=CC=C2N(CCCCCC(=O)O)c3ccccc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,725.4202,0.7262837,74.57977,0.7572157,0.7262837,0.5499534
1194,Cc1ccc([N+]2=c3c4n(c5ccccc35)[B-](F)(F)[N+](c3ccc(C)cc3)=c3c=4n(c4ccccc34)[B-]2(F)F)cc1,720.81,0.7514354,79.19,0.73084575,0.7514354,0.54918337
